entity,property,uri,type,datatype,cardinalityMin,cardinalityMax,description,example,controlledVocabulary,allowedValues,unit
Camera,cameraName,http://purl.org/dc/terms/title,datatype,xsd:string,1,1,Simple identifier for the camera,10,,,
Camera,cameraID,https://exiftool.org/TagNames/EXIF.html#SerialNumber,datatype,xsd:string,1,1,Unique ID/serial number of the camera,4110035082,,,
Camera,cameraModel,https://exiftool.org/TagNames/EXIF.html#Model,datatype,xsd:string,1,1,Manufacture and camera type,IDS GV-5280FA-C-HQ Rev 1.2,,,
Camera,cameraLensModel,https://exiftool.org/TagNames/EXIF.html#LensModel,datatype,xsd:string,1,1,Model name/number of the lens,IDS 6mm 1:2.8 C2/3,,,
Camera,maxPixelX,https://exiftool.org/TagNames/EXIF.html#PixelXDimension,datatype,xsd:integer,1,1,"Maximum number of pixels of sensor in X (horizontal) direction, NOT actual image size (downscaling/binning)",2464,,,
Camera,maxPixelY,https://exiftool.org/TagNames/EXIF.html#PixelYDimension,datatype,xsd:integer,1,1,"Maximum number of pixels of sensor in Y (vertical) direction,NOT actual image size (downscaling/binning)",2056,,,
Camera,pixelSize,https://w3id.org/agri-image/pixelSize,datatype,xsd:decimal,1,1,"Physical size of one pixel on a sensor, in micrometers",3.45,,,https://qudt.org/vocab/unit/MicroM
Camera,focalLength,https://exiftool.org/TagNames/EXIF.html#FocalLength,datatype,xsd:float,1,1,Focal length of the lens in [mm],6,,,https://qudt.org/vocab/unit/MilliM
Camera,subjectDistance,https://exiftool.org/TagNames/EXIF.html#SubjectDistance,datatype,xsd:float,1,1,Distance from camera to subject in meters [m],400,,,https://qudt.org/vocab/unit/M
Camera,spectralBand,http://sweetontology.net/propOrdinal/SpectralBand,datatype,xsd:string,0,1,"Spectral band captured by the camera (e.g., RGB, BGR, NIR, Thermal)",rgb,,"['rgb', 'nir', 'mono', 'thermal', 'multispectral', 'depth']",
Camera,cameraBox,https://w3id.org/agri-image/cameraBox,datatype,xsd:boolean,0,1,"Is the product shielded with a camera box [True, False]",TRUE,,"[True, False]",
Camera,lightSource,https://exiftool.org/TagNames/EXIF.html#LightSource,datatype,xsd:string,0,1,Indicates the Lightsource in agreement with EXIF standaard,FLASH,,"['FLASH', 'DAYLIGHT', ...]",
Camera,lightModel,https://exiftool.org/TagNames/EXIF.html#Model,datatype,xsd:string,0,1,"If additional light is used, indicate model",Luxalight LF-24-5700K-24.2X16-PU,,,
Camera,intrinsics,https://w3id.org/agri-image/intrinsics,datatype,xsd:string,0,1,"3x3 camera Matrix K=[[fx, s, cx],[0, fy, cy],[0,0,1]],corresponding with images recorded NOT MaxPixelX",,,,
Camera,distortionModel,https://w3id.org/agri-image/distortionModel,datatype,xsd:string,0,1,"Distortion model used. OPENCV uses dist_coeffs =[k1,k2,p1,p2,k3,k4,k5,k6],with k4 , k5, k6 optional. K123 = radial distortion, p12 tangetial distortion, k456 higher order radial distortion coefficicients for complex distortion","BROWN_CONRADY; [0.0,0.0,0.0,0.0,0.0]
",,,
